src,tgt
Wait for us in the lobby.,로비에서 기다려 주세요.
Tom sat down by the fire.,톰은 불 옆에 앉았다.
Tom gave it some thought.,탐은 이것에 대해 생각을 해봤다.
Tom doesn't look so well.,탐은 그다지 좋아보이지 않는다.
Tell Tom that he's wrong.,톰에게 그가 틀렸다고 말해.
The keys were in my bag.,열쇠는 내 가방에 있었다.
Tom hasn't decided yet.,톰은 아직 결정하지 못했다.
Tom was almost killed.,톰은 죽을 뻔 했어.
Tom refused to answer.,톰은 대답하기를 거부했다.
Tom isn't helping any.,톰은 전혀 도움이 안 된다.
What are you washing?,당신은 무엇을 씻고 있습니까?
Tom felt lightheaded.,톰은 어지러움을 느꼈다.
Let's do this later.,이건 좀 이따 하자.
Why are you lying?,왜 거짓말 하는거야?
Tom was too old.,톰은 너무 늙었어.
Emily is writing a letter.,Emily가 편지를 쓰고 있어요.
Emily is writing a letter.,Emily가 편지를 쓰고 있다.
The weather today is more beautiful than yesterday's.,오늘의 날씨가 어제보다 더 아름답다.
The weather today is more beautiful than yesterday's.,오늘의 날씨가 어제보다 더 아름다워요.
The weather today is more beautiful than yesterday's.,오늘의 날씨가 어제보다 더 아름다워.
The weather today is more beautiful than yesterday's.,오늘 날씨가 어제보다 더 좋다.
"You have talent, no doubt; it's just a pity that you haven't learned more.",너는 분명히 재능이 있는데 더 많이 못 배워서 아쉽구나.
"He's a Phd-doctor, not a doctor-doctor.","그는 의사가 아니라, 박사다."
Do you love him like a brother or do you love-love him?,너 그 사람을 오빠-동생으로 생각하니? 아니면 애인으로 사랑하니?
She did not act like a normal girl.,그 아이는 보통 여자들과 행동이 달랐다.
"Mom, I don't want to wear this.","엄마, 난 이걸 입고 싶지 않아."
"Mom, I don't want to wear this.","엄마, 난 이걸 입고 싶지 않아요."
She's a total sweetheart.,걔는 참 친절하다.
You're lucky I was here. What would you have done all by yourself?,내가 있었으니 망정이지 당신 혼자였으면 어쩔 뻔했어요?
It is very difficult to draw the boundary between love and friendship.,사랑과 우정 사이에 경계선을 긋는 것은 매우 어려운 일이다.
It is no use reasoning with a child.,아이에게 이치를 말해도 소용없다
Stop acting like a spoilt child.,어리광 부리지 마.
Stop the childish cutesy act.,어리광 부리지 마.
We couldn't reach the initial goal.,우리는 당초의 목표를 달성하지 못했다
"As years pass by, I long for my hometown more and more.",해를 거듭할수록 고향 생각이 간절하다
Salt in the kitchen will only make food salty if you use it.,부뚜막의 소금도 집어넣어야 짜다.
I couldn't sleep well because of a harsh dream.,꿈자리가 사나워 잠을 설쳤다
"Happiness shared returns many-fold, sadness shared comes back halved.",기쁨은 나누면 배가 되고 슬픔은 나누면 반이 된다.
Such a small world!,세상 참 좁네요!
The dog's eye can only see shit. (literal),개 눈에는 똥만 보인다
You can only see what you like the most.,개 눈에는 똥만 보인다
Even a straw shoe belongs to a pair.,짚신도 짝이 있다
Every Jack has his Jill.,짚신도 짝이 있다
There's someone for everyone.,짚신도 짝이 있다
A dog who is a good barker is not a good dog.,개는 잘 짖는 다고 좋은 개가 아니다.
A tiger surprised by a hedgehog will bow before the chestnut burrs.,고슴도치에 놀란 호랑이 밤송이 보고 절한다.
The cat hides its claws.,고양이가 발톱을 감춘다.
"When I see a rainbow in the sky, my heart flutters with joy.",하늘의 무지개를 볼 때 내 마음은 설렌다.
You are so cruel to make me decide whom to go there.,누가 거기에 갈지 나보고 결정하게 하다니 너 참 잔인하구나.
I am sincere in loving her.,그녀에 대한 제 사랑이 진실합니다
Their explanation was confusing.,그들의 설명은 모호했다.
This song is too repetitive.,이 노래는 반복이 너무 많다.
My grandmother used to tell me pleasant fairy tales.,할머니는 구수한 옛날 얘기를 들려주시곤 했다.
It's still bright outside.,밖은 아직 환해요.
The quiet cat caught the mouse.,조용한 고양이가 쥐를 잡는다.
His face clearly shows gratitude.,감사하는 빛이 그의 얼굴에 역력하다.
An expression of gratitude can be clearly seen on his face.,감사하는 빛이 그의 얼굴에 역력하다.
Most women dream of a splendid wedding.,여자들은 대부분 화려한 결혼식을 꿈꿔.
To think they would use such indecent language! It's really disgusting.,그들이 그렇게 외설적인 언어를 쓰다니 정말 역겹다.
Oil and water do not mix.,기름과 물은 혼합되지 않는다.
We woke up at the crack of dawn.,우리 새벽에 일어났어요.
I racked my brain and still could not come up with the answer.,아무리 머리를 굴려 봐도 답이 안 나와.
I cannot cancel the show even if I would collapse on the stage.,무대에서 쓰러지는 한이 있더라도 공연을 취소할 수는 없습니다.
I drank so much alcohol yesterday that my head feels like it will explode.,어제 술을 너무 많이 마셔서 오늘 머리가 깨질 것처럼 아파요.
This species of butterfly has already gone extinct.,이 나비종은 이미 멸종됐다.
Have you ever been to karaoke alone?,혼자 노래방에 간 적도 있어요?
Sometimes I laugh.,웃음이 나오기도 해요.
"Mom, please listen to me.",엄마 내 말 경청 좀 해주세요.
I made much money during the summer.,여름에 돈 많이 벌었어요.
You have very straight teeth.,이가 참 고르시네요.
I'm too busy to go there.,지금은 바빠서 못 가.
I said I would do that!,그건 내가 할 소리야.
I wanted to invite Mr. Jinsu this evening to thank him for helping me earlier.,진수 씨가 저를 도와주신 것을 감사하는 뜻으로 저녁에 초대하려고 해요.
It seems Mom is doing the dishes.,엄마 설겆이 하시나 봐.
Lack of sleep can gradually affect health.,수면 부족이 점차 건강에 영향을 미친다.
"Miss Sua, she's been doing yoga recently and really lost a lot of weight!","수아 씨, 요즘 요가 하신다더니 정말 날씬해지셨네요."
Aren't you extremely busy preparing for your trip these days?,요즘 여행 준비하느라 아주 바쁘시지요?
I'm in the same boat as you.,나도 너랑 같은 처지야.
"If there's any problem, you can reach me on my cellphone.",문제가 생기면 제 휴대폰으로 연락하세요.
The problem is that we don't have enough time.,문제는 우리는 시간이 충분하지 않다는 것이다.
I hate myself for my mistakes.,내 실수 때문에 내 자신이 싫어.
"After her first date with Tom, Mary was distracted all day, couldn't concentrate on her classes and didn't feel hungry.","톰과의 데이트 후에 메리는 하루종일 정신이 산란했어, 수업에서 집중도 못하고 배고픔도 느끼지 못했어."
Breakfast is served at seven a.m.,아침식사는 오전 7시에 제공됩니다.
I sang a song.,나는 노래를 불렀다.
Eh? When did it start raining? I didn't notice at all.,"어, 비가 언제부터 왔냐, 전혀 몰랐네."
"The good things about democracy is: anybody can say what's on their mind, but nobody has to listen to it.",민주주의의 좋은 점은 바로 이렇다: 누구나 그들의 단편적인 생각을 말할 수 있지만 누구도 거기에 귀를 기울일 필요는 없다는 것이다
"Can you speak slowly, please?",천천히 말씀해 주실수 있읍니까?
Who's your favorite singer?,좋아하는 가수가 누구야?
Who's your favorite singer?,좋아하는 가수는 누구예요?
"You're not really worried, are you?",진짜로 걱정 안 하지?
I'm going to Australia next year.,나는 내년에 호주에 간다.
Tom walked towards the stairs.,톰은 계단을 향해 걸어갔다.
Tom sold his car to Mary.,톰은 그의 차를 메리에게 팔았다.
You were both drunk.,너희 둘다 취했다.
A name indicating something far away or in distant memory.,멀거나 기억 속의 물건을 가르켜 이름.
They have scheduled a press conference.,그들은 기자회견 일정을 잡았다.
Brazil is the biggest country in South America.,브라질은 남미에서 제일 큰 나라야.
Brazil is the biggest country in South America.,브라질은 남미에서 가장 큰 나라입니다.
This task was dead tedious.,이 짓이 지겨워 죽겠어.
This task was incredibly boring.,이 짓이 지겨워 죽겠어.
Don't let me be misunderstood.,오해 하지 마세요.
Do not misunderstand this.,오해 하지 마세요.
I want to donate money.,나는 기부를 하고 싶다.
We went to Korea by plane.,우리는 비행기로 한국에 갔다.
He did not bring his glasses.,그는 그의 안경을 안 가지고 왔어요.
I can't see anything without glasses.,저는 안경이 없으면 아무 것도 못 봐요.
I want to water ski.,저는 수상스키를 타고 싶어요.
Should I wash the lettuce?,제가 양상추를 씻을까요?
When are you going to call?,언제 전화할 거예요?
I'm not good at dancing.,저는 춤을 잘 못 춰요.
Do you like going to the theater?,극장 가는 걸 좋아해요?
Is there a pen and a paper here?,여기 종이와 펜이 있어요?
"How did you sleep, dear?",당신은 어떻게 잤어요?
Do you want to leave tomorrow?,당신은 내일 출발하는 것을 원해요?
He is the one. I know it.,걔가 딱이야. 내가 알아.
There's a good movie screening today.,오늘 좋은 영화를 상영해요.
Where's a good restaurant around here?,여기 좋은 식당이 어디 있어요?
There is a soccer stadium in the city where I live.,우리 도시에는 축구 경기장이 있어요.
You smoke too much. Don't smoke so much!,당신은 담배를 너무 많이 피워요 – 너무 많이 담배를 피우지 마세요!
We got lost while driving.,우리는 운전하다 길을 잃었어요.
Is it dangerous to go out for walks at night?,밤에 혼자 산책하는 것은 위험해요?
Do you drink iced water?,당신은 물에 얼음을 넣어 마셔요?
Where are gorillas and zebras?,고릴라하고 얼룩말은 어디 있어요?
I want to sit in the middle.,저는 중간에 앉고 싶어요.
I would like to sit around the middle.,저는 중간쯤에 앉고 싶어요.
What colour is orange?,오렌지는 무슨 색이에요?
I don't drink that without sugar.,저는 설탕이 없어서 안 마셔요.
Perhaps the weather will get better tomorrow.,아마 내일은 날씨가 나아질 거예요.
The weather will probably clear up tomorrow.,아마 내일은 날씨가 나아질 거예요.
We want to go to the cinema.,우리는 영화관에 가고 싶어요.
Who's doing the dishes?,누가 설거지를 해요?
He read a boring novel.,그는 지루한 소설을 읽어요.
There is a good chance of him having a girlfriend.,그에게 여자친구가 있다는 것은 아주 가능성이 높아요.
I will retire as soon as I turn sixty.,저는 예순 살이 되자마자 일을 그만둘 거예요.
The band plays really well.,밴드는 아주 잘 연주해요.
The keys to the garage are gone.,차고의 열쇠가 없어졌어요.
Do you know where his keys are?,그의 열쇠가 어디 있는지 알아요?
You lost time.,시간을 할애 버렸어.
Is there a bulk discount?,대용량 할인 있어요?
Heather loves the way she lives her life.,헤더는 자신의 생활방식을 아주 좋아한다.
I like studying languages.,언어를 공부하는 게 좋아요.
I find those shoes too expensive.,그 신발 너무 비싼 거 같아.
I find those shoes too expensive.,그 신발은 너무 비싼 것 같아요.
Is it so difficult to choose between heaven and hell?,천국과 지옥을 선택하는 것이 그렇게 어렵나요?
She speaks seven languages.,그녀는 일곱 개의 언어를 말한다.
We are going home.,우리는 집에 갑니다.
Tom punished his children.,톰은 자기 아이들에게 벌을 줬다.
You won't get anything if you're too picky.,너무 까다롭게 고르면 아무것도 못 받는다.
My grandfather turned 89 years old.,할아버지가 팔십 구 세 돼셨어요.
Everyone looked for the missing kid.,모두 미아를 찾아 봤다.
"Two glasses of apple juice, please.",사과 주스 두 잔 주세요.
When did you return from London?,너 언제 론돈에서 돌아 왔어죠?
Tom looks very sick.,톰은 많이 아파보여.
I was very busy today.,오늘은 너무 바빴어.
"I took one class, but I've found that real-life experience is much more useful.","한 과목 듣긴 했는데, 실전 경험이 훨씬 더 유용한 것 같더라구요."
I can't stand him holding forth about his life experience.,나는 그가 자신의 인생 경험에 대해 열변을 토하는 것을 참을 수가 없다.
Life experience is the chief body of knowledge.,삶의 경험은 중요한 지식체계이다.
The elderly women can identify with her life experience.,나이를 먹은 여자라면 인생경험으로 알 수가 있다.
Experience Life is a journey in which one often faces lot of hardships.,"경험적 삶이란, 많은 시련들을 겪는 여정이다."
Have you ever loved somebody so much that it made you cry?,누군가를 너무도 많이 사랑하여 그것으로 울어 본 적이 있나요?
Tom wanted a bigger discount.,톰은 더 할인해 주기를 원했다.
Tom wanted a bigger discount.,톰은 더 큰 할인을 원했습니다.
I wanted a bigger discount.,더 깎아 주세요.
I have no room to study in.,공부할 방이 없다.
It's nice to meet you too.,나도 만나서 반가워요.
We have one kid.,우린 애가 한 명 있다.
"In spring, there are various blooming flowers.",봄에 피는 꽃은 여러 가지가 있습니다.
Could you give me your phone number?,전화번호 좀 줄래요?
He was lost in thought.,그는 생각에 잠겼다.
Mary is losing blood.,메리가 피를 흘리고 있어.
When did Tom get here?,톰이 언제 여기 왔지?
Weather forecasts are rarely accurate.,일기예보는 거의 맞지 않는다.
It seems that I'll have to wear this hat for winter.,겨울에 이 모자를 쓰고 다녀야 될 것 같아.
It can be free.,무료로 그것을 얻을 수 있다.
I want to see that again.,그를 다시 보고 싶다.
God knows what we need.,우리에게 필요한 것이 무엇인지 하나님께서는 아신다.
It rarely snows here.,여긴 거의 눈이 안 와.
It rarely snows here.,이곳은 눈이 거의 내리지 않습니다.
Are we going somewhere now?,지금 어디 가는 길이세요?
Do you think Tom is lying?,너는 톰이 거짓말을 하고 있다고 생각하니?
Let us know what you decide.,네가 결정한 걸 알려줘 봐.
There was one witness.,목격자가 한 명 있었다.
Tom reached into his bag and pulled out a book.,톰은 손을 가방 안으로 넣어 책을 꺼냈다.
Why are you so popular?,너는 어떻게 그렇게 인기가 많니?
Hippos live in Africa.,하마는 아프리카에 산다.
I hate maths.,나는 수학이 싫어요.
I'm drinking water in the kitchen.,내가 부엌에서 물을 마시고 있어요.
What's the difference between faith and trust?,믿음과 신뢰의 차이점은 무엇입니까?
What's the difference between religion and philosophy?,종교와 철학의 차이점은 무엇입니까?
Tom and John pretended to be brothers.,톰이랑 존은 형제인 척 했다.
All medals have two faces.,모든 메달은 양면이 있다.
He saved up his money for his daughter.,그는 딸을 위해 돈을 모았다.
I heard that Tom is studying French.,톰이 불어를 공부한대.
I want to see you smile.,난 당신이 웃는 걸 보고 싶어요.
I'm not going to give up.,나는 포기하지 않을 것이다.
It's just not that easy.,그것이 그렇게 쉽지는 않아.
We can do this without Tom's help.,우리는 톰의 도움없이 이것을 할 수 있다.
Tom dedicated his life to helping the poor.,톰은 가난한 사람을 도와주는 것에 그의 인생을 바쳤다.
Tom reached for his cane.,톰은 손을 뻗어서 지팡이를 잡았다.
Tom seems to be worried about something.,톰은 뭔가를 걱정하는 것 처럼 보여.
Tom was totally into it.,탐은 그 것에 푹 빠져 있었다.
"Yesterday, I simply couldn't go to work.",나는 어제 단지 출근할 수 없었어.
Last year there was a lot of snow.,작년에 눈이 엄청 내렸어.
Tom seems like a really nice guy.,톰은 정말 좋은 남자처럼 보인다.
Have a safe trip to China!,중국까지 안전한 여행 하세요!
I get chapped lips every winter.,매년 겨울에 내 입술이 튼다.
Women are often judged by their looks.,여자들은 자주 외모로 평가된다.
Tom doesn't sleep in a coffin like most vampires.,톰은 대부분의 흡혈귀처럼 관에서 자지 않는다.
Tom doesn't sleep in a coffin like most vampires.,톰은 대부분의 흡혈귀와는 달리 관에서 자지 않는다.
Can I come to your party tonight?,나 오늘밤 너의 파티에 가도 돼?
I want to live in Tampa.,저는 탬파에 살고 싶어요.
Why did you come to Korea?,한국에는 무슨 일로 오셨습니까?
I'm here for work.,일 때문에 왔어요.
Is this your first time in Korea?,한국에 처음 오셨습니까?
"No, this is my second time.","아니오, 두 번쨉니다."
Until when will you be in South Korea?,한국에 언제까지 계실 겁니까?
How long will you be in Korea?,한국에 언제까지 계실 겁니까?
I hate liars.,난 거짓말쟁이가 싫어.
I'm using the computer.,나는 컴퓨터를 사용합니다.
When did you come to Boston?,보스턴에 언제 왔어?
Tom left us some food and water.,톰은 우리에게 약간의 음식과 물을 남겨주었다.
Tom has done well here.,톰은 여기서 일을 잘 해왔다.
I'm just telling you what I heard.,나는 내가 들은 걸 너에게 말해주는 것뿐이다.
"Who, being loved, is poor?",사랑받고 있는 사람 중에 가난한 사람이 누가 있나?
Talk of the devil and he'll appear.,호랑이도 제 말을 하면 온다.
I wish I were an only child.,내가 외동이었으면 좋았을 텐데.
I had dinner with a total stranger.,생판 모르는 사람과 저녁을 먹었다.
I hope you tore up my last letter.,내 마지막 편지는 찢어 버렸길 바란다.
I hate myself sometimes.,난 가끔 내 자신이 싫어.
Tom put his shirt on inside out.,톰이 셔츠를 뒤집어 입었어.
It rained throughout the night.,밤새 비가 내렸다.
Happy International Women's Day!,세계 여성의 날을 축하합니다.
Tom liked to listen to Mary play the piano.,톰은 메리가 피아노 치는 것을 듣는 것을 좋아했다.
I really hate myself right now.,바로 지금 난 내 자신이 싫어.
Now we have one less thing to worry about.,이제 우리는 걱정 거리가 하나 줄었다.
Tom says he's almost ready to leave.,톰은 떠날 준비가 거의 다 됐대.
British films are better than American films.,영국 영화가 미국 영화보다 낫다.
I am busy this week because I practice driving.,이번 주는 운전연습을 하느라고 바빠요.
I wish I could stop thinking about what's happened.,일어난 일에 대해 그만 생각할 수 있었으면 좋겠다.
How come your Spanish is that good?,스페인어를 어쩜 그렇게 잘하게 됐어?
We're moving to Boston at the end of this month.,우리는 이달 말에 보스턴으로 이사를 합니다.
Churchill uses the metaphor of building a temple.,처칠은 절을 짓는 비유를 쓴다.
You're the one who gave us all this.,우리에게 이 모든 걸 준 사람이 바로 당신이다.
Tom is our next-door neighbor.,톰은 우리의 옆집 이웃이다.
We had to keep it secret.,우리는 그것을 비밀에 부쳐야 했다.
Do I look desperate to you?,내가 절박해 보이냐?
Tom bought some things on the black market.,톰은 암시장에서 몇 개를 샀다.
Tom baked three pies.,톰은 파이를 세개 구웠어.
Millie is eating an apple.,밀리는 사과를 먹고 있어요.
The boy has a horse.,그 소년은 말이 있다.
I haven't been getting a lot of sleep lately.,나는 요즘 잠을 많이 못잤어요.
"These are yours, right?","이것들 네 것이지, 맞지?"
It must be really bad.,정말 안 좋은가보네요.
"You talked to Tom yesterday, didn't you?",네가 어제 톰에게 말했지?
I see a man.,나는 남자를 봐요.
I think Tom is loyal.,난 톰이 의리있다고 생각한다.
Tom often stays out all night.,톰은 자주 밤새 논다.
They haven't paid me anything yet.,그들은 나한테 아직도 아무것도 갚지 않았는데.
My dog is big.,내 개는 큽니다.
Can you tell where this road goes?,이 길이 어디로 가는지 알려 줄래?
Tom told me where I could buy pomegranates.,톰이 어디서 석류를 살 수 있는지 말해 주었다.
We were told Tom wanted to drop out of school.,우린 톰이 학교를 중퇴하려 한다는 말을 들었다.
Can you tell me more about the person you saw?,네가 본 사람에 대해 더 말해줄래?
I want a boat.,나는 배를 원해요.
Arabic isn't hard.,아랍어는 어렵지 않다.
Arabic isn't complicated.,아랍어는 복잡하지 않다.
Why do I always get up at this time?,나는 왜 항상 이 시간에 일어날까?
There were many people at Giverny to see Monet's house and gardens.,지베르니에는 모네의 집이랑 정원을 보러 온 사람들이 많다.
We must call the doctor because I am sick.,나 아파서 의사를 불러야겠어.
Suppose you are talking to your friend.,친구한테 얘기하는 중이라고 생각해봐.
We have potassium in our bodies.,우리 몸 속에는 칼륨이 들어 있다.
I haven't seen her since she moved to Boston.,걔가 보스턴으로 이사하고 나서는 못봤어.
We'll take care of that.,우리가 그것을 맡겠다. (처리하겠다.)
Tom lives in a small apartment on Park Street.,톰은 파크 스트리트의 작은 아파트에서 살고 있다.
Sometimes I hate myself.,가끔 내 자신이 싫어.
Learning languages is interesting.,언어를 배우는 것은 재미있다.
People who ignore history tend to repeat it.,역사를 무시하는 사람들은 역사를 되풀이하게 된다.
Can I borrow your phone?,전화기 좀 빌려도 돼?
Shall we start studying?,공부 시작 할까요?
I met Tom after work.,난 퇴근 후 톰을 만났다.
Will you help us now?,이제 우릴 도와줄 거야?
Do you live in the area?,이 지역에 사세요?
What's the horse's name?,그 말의 이름이 뭐야?
Tom isn't skinny.,톰은 마르지 않았다.
Tom threw a pillow at Mary and the pillow hit her squarely in the face.,톰은 메리에게 베개를 던져서 정확히 얼굴을 맞았다.
What if someone sees it?,누가 보면 어떡해?
Tom and Mary live in a very small apartment.,톰과 메리는 매우 작은 아파트에 살고 있어요.
"You're persistent, aren't you?","넌 끈질긴 사람이야, 맞지?"
Tom found out what went wrong.,톰은 뭐가 잘못됐는지 알아챘어.
Tom is lonely and unhappy.,톰은 외롭고 불행해.
Tom doesn't want to get into trouble.,톰은 말썽에 휘말리고 싶어하지 않았지.
There are no stars tonight.,오늘 밤엔 별이 안보이네.
I told Tom not to use those.,난 톰한테 그걸 쓰지 말라고 말했다.
I told Tom not to use those.,난 톰한테 그걸 쓰지 말라고 했는데.
Tom aimed at the target.,톰은 표적을 겨눴다.
Tom looks pretty sleepy.,톰은 상당히 졸려 보인다.
"Tom is passionate, isn't he?",톰은 열정적인 애지?
I won't hire anyone without your approval.,너의 동의 없이는 난 아무도 고용하지 않을 것이다.
I won't hire anyone without your approval.,당신이 승인하지 않으면 난 아무도 고용하지 않을 것이다.
Tom is passed out in bed.,톰은 침대에서 기절했다.
That cake is delicious.,저 케익 맛있어요.
Tom is scared of dogs.,톰은 개를 무서워한다.
Tom was very disrespectful.,톰은 매우 무례했다.
Tom is in a meeting right now.,톰은 지금 모임에 참석 중이다.
Tom is trying to figure things out.,톰은 이해하려고 노력하고 있다.
Tom is trying to figure things out.,톰은 해결하려고 노력하고 있다.
Tom was in the center of the room.,톰은 방 한가운데 있었다.
I hate myself for hating Tom.,톰이 싫어서 내 자신이 싫어.
Tom is just getting used to this.,톰은 이것에 익숙하다.
Please stay for 5 more minutes.,5분만 더 있어
The man spoke with a small voice.,그 남자는 작은 목소리로 말했다.
Many thanks for this illustrative collection of examples.,이렇게 콜렉션의 확실한 예를 보여줘서 정말 감사합니다.
I've gotta go.,나는 지금 가야해요.
The Bridge of No Return separates the two Koreas.,돌아오지 않는 다리는 두 한국을 가른다.
Love of money is the root of all evil.,돈을 사랑하는 마음이 모든 악의 근원이다.
"Everyone wants to go to heaven, but nobody wants to die.","모두 천국에 가고 싶어 하나, 누구도 죽고 싶어 하지 않는다."
Tom still hasn't responded to my email.,톰이 아직도 내 이메일에 답장을 안했어.
Don't believe everything people tell you.,사람들이 말하는 전부를 믿지는 마.
You don't have to be Einstein to work that out.,네가 아인슈타인이 아니라도 그 문제를 풀 수 있다.
That medicine worked.,그 약은 효과가 있었다.
That medicine worked.,그 약은 잘 들었다.
"Are you going to tell Tom to go home, or do I have to?","네가 톰한테 집에 가라고 할거야, 아니면 내가 해야 돼?"
Ebola spreads from person to person through bodily fluids.,에볼라는 체액을 통하여 사람에서 사람으로 전파된다.
Does the story have a happy ending?,이 이야기는 해피앤딩이야?
Zoos are like prisons for animals.,동물원은 동물들을 위한 감옥 같다.
Zoos are like prisons for animals.,동물원은 동물에게 감옥 같다.
Tom and Mary have chickens in their backyard.,톰이랑 매리는 뒤뜰에 닭을 기른다.
The chickens were killed by a fox.,여우가 닭을 죽었다.
This building looks very futuristic.,이 건물은 현대적으로 보인다.
There is a rotating restaurant at the top of this tower.,이 탑 위에 회전하는 식당이 있다.
There is a rotating restaurant at the top of this tower.,이 타워의 맨 위에 회전하는 식당이 있다.
There is a rotating restaurant at the top of this tower.,이 타워의 꼭대기에 회전하는 식당이 있다.
That place is always packed.,저곳은 항상 사람들로 붐빈다.
"I don't want to have a baby, ever.","난 아기를 안 낳고 싶어, 절대로."
Did you kill Mary?,당신이 메리를 죽였나요?
Aimee is listening to music now.,에이미는 지금 음악을 듣고 있어요.
That happened over a year ago.,그 일은 일년 전 쯤 일어났다.
That's what I was going to say.,그게 내가 말하려던 거야.
That's why I've done all this.,그게 내가 이 모든 것을 한 이유이다.
I hate her hat.,나는 그녀의 모자가 싫다.
Is that all you want to say?,그게 네가 하고 싶은 말 전부니?
I've asked Tom to take my place.,나는 톰에게 내 일 좀 맡아달라고 부탁했다.
Do you believe this has any use?,이게 쓸모가 있을거라고 생각해?
You don't need to give me a call.,나한테 전화 할 필요 없어.
Posting porn is against the rules and when discovered will get you blocked.,음란물 게시하는 것이 불법이며 적발 시 차단하겠습니다.
Excuse me. What time is the next train to Taejon?,실례합니다. 대전에 가는 다음 기차가 몇시에 있습니까?
My name is James.,제 이름은 제임스입니다.
We are on the way home.,우리는 집에 가는 중입니다.
"In our wide world, there exist countless lifestyles, languages and cultures.","세상은 넓고, 그 안엔 다양한 삶과 언어, 문화들이 존재한다."
"That's why I like traveling, and would like to experience many different cultures.","그래서 나는 여행을 사랑하고, 많은 문화와 언어를 경험하고 싶다."
"Each time I spent only a short time in Paris, and this has given me much to regret.",그 기간동안 나는 오직 빠리에서만 짧게 머물렀기 때문에 그 기간이 매우 아쉬웠다.
"I found a French friend in Morocco. She told me that the atmosphere in Paris is not that of the rest of France, and that other cities and provinces are very beautiful.","내가 모로코에서 만난 프랑스 친구가 나에게 빠리의 공기(분위기)가 프랑스의 전부를 나타내는 것이 아니며, 다른 도시들과 시골이 아주 아름답다고 말했다."
"Since I heard this, I want to travel french cities and provinces, learn beautiful French, and more than anything prepare French cuisine with my own hands. And feel the atmosphere of France.","그 말을 들은 후부터 나는 프랑스의 도시들과 시골을 여행하고 싶어졌고, 아름다운 언어인 프랑스어를 배우고 싶어졌으며, 무엇보다도, 프랑스 음식을 내 손으로 직접 만들고 싶어졌다.또한 프랑스의 분위기를 느끼고 싶다."
This is why I would like an extended visa as well as as funds for my stay.,"그래서 나는 프랑스에 오래 머무르고 싶고, 그러기 위한 돈이 필요하다."
There are islands in the sea.,바다에는 섬들이 있다.
There are islands in the sea.,바다에는 섬이 있다.
This TV is made in Korea.,이 티비는 한국에서 만들어졌습니다.
I'll come back at six thirty.,난 6시 반에 돌아올 거야.
My mother told me not to study so hard.,우리 엄마는 그렇게 열심히 공부하지 말래.
You may be shocked when you find out who came by today.,오늘 누가 왔었는지 알면 넌 아마 깜짝 놀랄걸.
He didn't have any bicycle.,그는 자전거가 하나도 없다.
My watch is different than yours.,제 시계는 당신의 것과 다르다.
I don't want to waste time on this problem.,이런 일에 시간을 낭비하고 싶지 않다.
There's a full moon tonight.,오늘밤은 보름달이 떴어.
What was the matter this morning?,아침에 무슨 일이 있었니?
My older sister plays the piano every day.,우리 누나는 날마다 피아노를 친다.
My younger sister plays piano every day.,우리 여동생은 날마다 피아노를 친다.
Tom told me to not open the envelope up till it was my birthday.,톰이 나한테 봉투를 내 생일 때까지 열지 말래.
I didn't know which one would be good to buy.,어느 걸 사면 좋을 지 몰랐다.
Are you ready to start working?,일할 준비 됐니?
Tunisia is located in Africa.,튀니지는 아프리카에 있다.
I drove the car.,난 자동차를 운전한다.
Tom was honest about the problem.,톰은 문제에 대해 솔직했다.
That woman gets shy easily.,저 여자는 정말 수줍음을 잘 탄다.
Tom kissed Mary gently on the lips.,톰은 메리의 입술을 부드럽게 키스했다.
That's my responsibility.,그건 너의 책임이다.
I wish we were going together.,우리가 같이 갔으면 좋겠다.
They decided to get married the next month.,그들은 다음달에 결혼하기로 결정했다.
My parents came to see me off at the airport.,우리 부모님께서는 나를 배웅하러 공항에 오셨다.
I am glad you are here.,여기 있어서 기쁘다.
We'd like you to sing the song.,우리는 네가 그 노래를 불렀으면 좋겠다.
Why don't you answer me at all?,왜 아무도 대답을 안 하나?
I called from Tom's house.,나는 톰의 집에서 통화한다.
Where did you spend your summer?,여름방학을 어디서 보내셨어요?
I'll give this to Tom.,내가 이 것을 톰에게 줄거야.
Where is the closest hospital?,제일 가까운 병원이 어디에요?
He is not sleeping.,그는 안 잔다.
Tom must be winning.,톰이 이기고 있나봐.
I work at a zoo.,나는 동물원에서 일해.
Please edit the sentence if it is wrong or awkward.,문장에 틀렸거나 어색하다면 꼭 고쳐주시기 바랍니다!
The president approved the use of crossbows by the police.,그 대통령은 경찰의 석궁 사용을 승인했다.
The president approved the use of crossbows by the police.,대통령은 경찰이 석궁을 사용하는 것을 승인했다.
How could things have happened this way?,설마 일이 이렇게 될 줄이야.
South Korea is much more beautiful than North Korea.,남한은 북한보다 훨씬 더 아름답다.
"You look tired, so you should go to bed early.",피곤해 보이니까 일찍 자는 것이 좋겠다.
Santa lives at the North Pole.,산타는 북극에 산다.
I hope that I can do it.,내가 할 수 있길 바라.
During the day I went to Ikea to return the rug.,낮에 이케아에 양탄자를 반품하러 갔어.
I had to wait 20 minutes on the phone before reaching the customer service rep.,통화해서 고객 서비스 상담원에게 말하기 전까지 연결 대기 큐에서 20분이나 기다렸어야 했어.
It takes 2 hours or so to go make a return so I bought some different housewares.,반품을 하는 데 2시간이나 걸려서 다른 가정 용품을 사봤어.
I took a walk with my dog.,내 개와 산책했어.
